CODE,BCH377H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,5
1657659549,5
1657678570,5
1657700365,5
1657734871,5
1657736010,5
1657737663,5
1657744779,5
1657780708,5
1657815709,5
1657827433,5
1657841414,5
1657851506,5
1657853745,5
1657868013,5
1657911016,35
1657914736,35
1657938194,35
1657991875,35
1658011950,35
1658085371,35
1658086263,35
1658101142,35
1658101460,35
1658117879,35
1658120793,35
1658149259,35
1658163599,35
1658192570,35
1658255570,35
1658255771,35
1658265950,35
1658282790,35
1658284116,35
1658341001,36
1658425295,37
1658438086,37
1658446145,37
1658446771,37
1658459993,37
1658514122,36
1658536177,36
1658552496,36
1658614184,36
1658631640,36
1658698072,36
1658768579,36
1658788810,36
1658856123,36
1658878855,36
1658879061,36
1658965224,36
1659041771,36
1659049567,36
1659055044,36
1659106101,36
1659116089,36
1659126296,36
1659137072,36
1659154611,36
1659160554,36
1659197509,35
1659228141,35
1659229848,35
1659252431,35
1659298084,35
