CODE,PSY379H1-S-20229-LEC-5101
CAP,15
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,5
1657560905,5
1657592491,5
1657598166,5
1657657537,7
1657659562,7
1657678580,7
1657700377,7
1657734892,7
1657736031,7
1657737680,7
1657744796,7
1657780717,7
1657815723,7
1657827444,7
1657841424,7
1657851524,7
1657853756,7
1657868023,7
1657911025,11
1657914749,11
1657938204,11
1657991885,11
1658011963,11
1658085387,12
1658086283,12
1658101152,12
1658101473,12
1658117893,12
1658120808,12
1658149282,12
1658163609,12
1658192584,12
1658255580,11
1658255781,11
1658265969,11
1658282799,11
1658284132,11
1658341011,11
1658425310,11
1658438101,11
1658446157,11
1658446785,11
1658460004,11
1658514131,11
1658536189,11
1658552506,11
1658614194,11
1658631652,11
1658698082,11
1658768591,11
1658788819,11
1658856132,11
1658878866,11
1658879072,11
