CODE,PSY100H1-F-20229-LEC-0101
CAP,1500
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,2
1657659549,2
1657678570,2
1657700365,2
1657734871,2
1657736010,2
1657737663,2
1657744779,2
1657780708,2
1657815709,2
1657827433,2
1657841414,2
1657851506,2
1657853745,2
1657868013,2
1657911016,3
1657914736,3
1657938194,3
1657991875,3
1658011950,3
1658085371,3
1658086263,3
1658101142,3
1658101460,3
1658117879,3
1658120793,3
1658149259,3
1658163599,3
1658192570,3
1658255570,48
1658255771,48
1658265950,48
1658282790,48
1658284116,48
1658341001,47
1658425295,47
1658438086,47
1658446145,47
1658446771,47
1658459993,47
1658514122,1363
1658536177,1363
1658552496,1363
1658614184,1379
1658631640,1379
1658698072,1388
1658768579,1402
1658788810,1402
1658856123,1413
1658878855,1413
1658879061,1413
1658965224,1420
1659041771,1422
1659049567,1422
1659055044,1422
1659106101,1420
1659116089,1420
1659126296,1420
1659137072,1420
1659154611,1420
1659160554,1420
1659197509,1663
1659228141,1663
1659229848,1663
1659252431,1663
1659298084,1674
