CODE,PHY131H1-S-20229-LEC-0101
CAP,192
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,10
1657659562,10
1657678580,10
1657700377,10
1657734892,11
1657736031,11
1657737680,11
1657744796,11
1657780717,11
1657815723,11
1657827444,11
1657841424,11
1657851524,11
1657853756,11
1657868023,11
1657911025,18
1657914749,18
1657938204,18
1657991885,18
1658011963,18
1658085387,18
1658086283,18
1658101152,18
1658101473,18
1658117893,18
1658120808,18
1658149282,18
1658163609,18
1658192584,18
1658255580,64
1658255781,64
1658265969,64
1658282799,64
1658284132,64
1658341011,63
1658425310,63
1658438101,63
1658446157,63
1658446785,63
1658460004,63
1658514131,127
1658536189,127
1658552506,127
1658614194,129
1658631652,129
1658698082,129
1658768591,128
1658788819,128
1658856132,129
1658878866,129
1658879072,129
1658965232,129
1659041782,128
1659049575,128
1659055055,128
1659106110,127
1659116097,127
1659126308,127
1659137081,127
1659154622,127
1659160562,127
1659197518,128
1659228149,128
1659229856,128
1659252439,128
1659298092,129
