CODE,FRE379H1-S-20229-LEC-5101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,9
1657659562,9
1657678580,9
1657700377,9
1657734892,8
1657736031,8
1657737680,8
1657744796,8
1657780717,8
1657815723,8
1657827444,8
1657841424,8
1657851524,8
1657853756,8
1657868023,8
1657911025,19
1657914749,19
1657938204,19
1657991885,19
1658011963,19
1658085387,19
1658086283,19
1658101152,19
1658101473,19
1658117893,19
1658120808,19
1658149282,20
1658163609,20
1658192584,20
1658255580,22
1658255781,22
1658265969,22
1658282799,22
1658284132,22
1658341011,23
1658425310,23
1658438101,23
1658446157,23
1658446785,23
1658460004,23
1658514131,23
1658536189,23
1658552506,23
1658614194,24
1658631652,24
1658698082,24
1658768591,24
1658788819,24
1658856132,25
1658878866,25
1658879072,25
1658965232,25
1659041782,25
1659049575,25
1659055055,25
