CODE,ACT372H1-S-20229-LEC-5101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,19
1657659562,19
1657678580,19
1657700377,19
1657734892,19
1657736031,19
1657737680,19
1657744796,19
1657780717,19
1657815723,19
1657827444,19
1657841424,19
1657851524,19
1657853756,19
1657868023,19
1657911025,32
1657914749,32
1657938204,32
1657991885,32
1658011963,32
1658085387,32
1658086283,32
1658101152,32
1658101473,32
1658117893,32
1658120808,32
1658149282,31
1658163609,31
1658192584,31
1658255580,32
1658255781,32
1658265969,32
1658282799,32
1658284132,32
1658341011,32
1658425310,32
1658438101,32
1658446157,32
1658446785,32
1658460004,32
1658514131,32
1658536189,32
1658552506,32
1658614194,32
1658631652,32
1658698082,33
1658768591,32
1658788819,32
1658856132,32
1658878866,32
1658879072,32
1658965232,32
1659041782,32
1659049575,32
1659055055,32
1659106110,32
1659116097,32
1659126308,32
1659137081,32
1659154622,32
1659160562,32
1659197518,33
1659228149,33
1659229856,33
1659252439,33
1659298092,33
