CODE,HIS318H1-S-20229-LEC-0101
CAP,45
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,24
1657659562,24
1657678580,24
1657700377,24
1657734892,23
1657736031,23
1657737680,23
1657744796,23
1657780717,23
1657815723,24
1657827444,24
1657841424,24
1657851524,24
1657853756,24
1657868023,24
1657911025,53
1657914749,53
1657938204,53
1657991885,53
1658011963,53
1658085387,54
1658086283,54
1658101152,54
1658101473,54
1658117893,54
1658120808,54
1658149282,53
1658163609,53
1658192584,53
1658255580,58
1658255781,58
1658265969,58
1658282799,58
1658284132,58
1658341011,58
1658425310,58
1658438101,58
1658446157,58
1658446785,58
1658460004,58
1658514131,58
1658536189,58
1658552506,58
1658614194,58
1658631652,58
1658698082,58
1658768591,58
1658788819,58
1658856132,58
1658878866,58
1658879072,58
1658965232,58
1659041782,58
1659049575,58
1659055055,58
1659106110,58
1659116097,58
1659126308,58
1659137081,58
1659154622,58
1659160562,58
1659197518,57
1659228149,57
1659229856,57
1659252439,57
1659298092,57
