CODE,PHL313H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,9
1657659562,9
1657678580,9
1657700377,9
1657734892,9
1657736031,9
1657737680,9
1657744796,9
1657780717,9
1657815723,9
1657827444,9
1657841424,9
1657851524,9
1657853756,9
1657868023,9
1657911025,19
1657914749,19
1657938204,19
1657991885,19
1658011963,19
1658085387,19
1658086283,19
1658101152,19
1658101473,19
1658117893,19
1658120808,19
1658149282,19
1658163609,19
1658192584,19
1658255580,25
1658255781,25
1658265969,25
1658282799,25
1658284132,25
1658341011,24
1658425310,26
1658438101,26
1658446157,26
1658446785,26
1658460004,26
1658514131,26
