CODE,APM462H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,100
1657659549,100
1657678570,100
1657700365,100
1657734871,102
1657736010,102
1657737663,102
1657744779,102
1657780708,102
1657815709,104
1657827433,104
1657841414,104
1657851506,104
1657853745,104
1657868013,104
1657911016,124
1657914736,124
1657938194,124
1657991875,123
1658011950,123
1658085371,124
1658086263,124
1658101142,124
1658101460,124
1658117879,124
1658120793,124
1658149259,123
1658163599,123
1658192570,123
1658255570,123
1658255771,123
1658265950,123
1658282790,123
1658284116,123
1658341001,124
1658425295,125
1658438086,125
1658446145,125
1658446771,125
1658459993,125
1658514122,129
1658536177,129
1658552496,129
1658614184,129
1658631640,129
1658698072,129
1658768579,129
1658788810,129
1658856123,129
1658878855,129
1658879061,129
