CODE,MGY377H1-F-20229-LEC-0101
CAP,400
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,65
1657659549,65
1657678570,65
1657700365,65
1657734871,65
1657736010,65
1657737663,65
1657744779,65
1657780708,65
1657815709,65
1657827433,65
1657841414,65
1657851506,65
1657853745,65
1657868013,65
1657911016,201
1657914736,201
1657938194,201
1657991875,200
1658011950,200
1658085371,200
1658086263,200
1658101142,200
1658101460,200
1658117879,200
1658120793,200
1658149259,199
1658163599,199
1658192570,199
1658255570,201
1658255771,201
1658265950,201
1658282790,201
1658284116,201
1658341001,200
1658425295,202
1658438086,202
1658446145,202
1658446771,202
1658459993,202
1658514122,203
1658536177,203
1658552496,203
1658614184,203
1658631640,203
1658698072,203
1658768579,203
1658788810,203
1658856123,202
1658878855,202
1658879061,202
1658965224,201
1659041771,200
1659049567,200
1659055044,200
1659106101,199
1659116089,199
1659126296,199
1659137072,199
1659154611,199
1659160554,199
1659197509,209
1659228141,209
1659229848,209
1659252431,209
1659298084,210
