CODE,ACT455H1-S-20229-LEC-0101
CAP,60
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,3
1657560905,3
1657592491,3
1657598166,3
1657657537,13
1657659562,13
1657678580,13
1657700377,13
1657734892,13
1657736031,13
1657737680,13
1657744796,13
1657780717,13
1657815723,14
1657827444,14
1657841424,14
1657851524,14
1657853756,14
1657868023,14
1657911025,16
1657914749,16
1657938204,16
1657991885,15
1658011963,15
1658085387,15
1658086283,15
1658101152,15
1658101473,15
1658117893,15
1658120808,15
1658149282,15
1658163609,15
1658192584,15
1658255580,16
1658255781,16
1658265969,16
1658282799,16
1658284132,16
1658341011,17
1658425310,17
1658438101,17
1658446157,17
1658446785,17
1658460004,17
1658514131,17
1658536189,17
1658552506,17
1658614194,17
1658631652,17
1658698082,17
1658768591,17
1658788819,17
1658856132,17
1658878866,17
1658879072,17
