CODE,PSY372H1-F-20229-LEC-0101,PSY372H1-F-20229-LEC-5101
CAP,50,50
1656647689,0,0
1656655656,0,0
1656693722,0,0
1656799543,0,0
1657039029,0,0
1657124783,0,0
1657129900,0,0
1657154826,0,0
1657154927,0,0
1657157137,0,0
1657169424,0,0
1657171604,0,0
1657208564,0,0
1657224150,0,0
1657394888,0,0
1657522639,0,0
1657560897,0,0
1657592482,0,0
1657598158,0,0
1657657520,27,15
1657659549,27,15
1657678570,27,15
1657700365,27,15
1657734871,29,15
1657736010,29,15
1657737663,29,15
1657744779,29,15
1657780708,29,15
1657815709,28,14
1657827433,28,14
1657841414,28,14
1657851506,28,14
1657853745,28,14
1657868013,28,14
1657911016,63,53
1657914736,63,53
1657938194,63,53
1657991875,63,53
1658011950,63,53
1658085371,63,55
1658086263,63,55
1658101142,63,55
1658101460,63,55
1658117879,63,55
1658120793,63,55
1658149259,64,56
1658163599,64,56
1658192570,64,56
1658255570,64,58
1658255771,64,58
1658265950,64,58
1658282790,64,58
1658284116,64,58
1658341001,63,57
1658425295,63,57
1658438086,63,57
1658446145,63,57
1658446771,63,57
1658459993,63,57
1658514122,63,57
1658536177,63,57
1658552496,63,57
1658614184,61,55
1658631640,61,55
1658698072,61,54
1658768579,62,54
1658788810,62,54
1658856123,62,54
1658878855,62,54
1658879061,62,54
