CODE,PSY360H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,10
1657659562,10
1657678580,10
1657700377,10
1657734892,8
1657736031,8
1657737680,8
1657744796,8
1657780717,8
1657815723,8
1657827444,8
1657841424,8
1657851524,8
1657853756,8
1657868023,8
1657911025,27
1657914749,27
1657938204,27
1657991885,26
1658011963,26
1658085387,27
1658086283,27
1658101152,27
1658101473,27
1658117893,27
1658120808,27
1658149282,28
1658163609,28
1658192584,28
1658255580,32
1658255781,32
1658265969,32
1658282799,32
1658284132,32
1658341011,32
1658425310,32
1658438101,32
1658446157,32
1658446785,32
1658460004,32
1658514131,32
