CODE,PSY460H1-S-20229-LEC-0101
CAP,20
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,9
1657560905,9
1657592491,9
1657598166,9
1657657537,14
1657659562,14
1657678580,14
1657700377,14
1657734892,14
1657736031,14
1657737680,14
1657744796,14
1657780717,14
1657815723,15
1657827444,15
1657841424,15
1657851524,15
1657853756,15
1657868023,15
1657911025,16
1657914749,16
1657938204,16
1657991885,17
1658011963,17
1658085387,18
1658086283,18
1658101152,18
1658101473,18
1658117893,18
1658120808,18
1658149282,18
1658163609,18
1658192584,18
1658255580,18
1658255781,18
1658265969,18
1658282799,18
1658284132,18
1658341011,17
1658425310,17
1658438101,17
1658446157,17
1658446785,17
1658460004,17
1658514131,16
1658536189,16
1658552506,16
1658614194,16
1658631652,16
1658698082,16
1658768591,16
1658788819,16
1658856132,16
1658878866,16
1658879072,16
1658965232,16
1659041782,16
1659049575,16
1659055055,16
1659106110,16
1659116097,16
1659126308,16
1659137081,16
1659154622,16
1659160562,16
1659197518,20
1659228149,20
1659229856,20
1659252439,20
1659298092,20
