CODE,BMS387H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,35
1657659549,35
1657678570,35
1657700365,35
1657734871,36
1657736010,36
1657737663,36
1657744779,36
1657780708,36
1657815709,36
1657827433,36
1657841414,36
1657851506,36
1657853745,36
1657868013,36
1657911016,83
1657914736,83
1657938194,83
1657991875,82
1658011950,82
1658085371,82
1658086263,82
1658101142,82
1658101460,82
1658117879,82
1658120793,82
1658149259,80
1658163599,80
1658192570,80
1658255570,91
1658255771,91
1658265950,91
1658282790,91
1658284116,91
1658341001,90
1658425295,90
1658438086,90
1658446145,90
1658446771,90
1658459993,90
1658514122,90
1658536177,90
1658552496,90
1658614184,90
1658631640,90
1658698072,90
1658768579,89
1658788810,89
1658856123,89
1658878855,89
1658879061,89
