CODE,POL382H1-F-20229-LEC-0101
CAP,70
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,5
1657659549,5
1657678570,5
1657700365,5
1657734871,6
1657736010,6
1657737663,6
1657744779,6
1657780708,6
1657815709,7
1657827433,7
1657841414,7
1657851506,7
1657853745,7
1657868013,7
1657911016,26
1657914736,26
1657938194,26
1657991875,28
1658011950,28
1658085371,28
1658086263,28
1658101142,28
1658101460,28
1658117879,28
1658120793,28
1658149259,27
1658163599,27
1658192570,27
1658255570,34
1658255771,34
1658265950,34
1658282790,34
1658284116,34
1658341001,35
1658425295,35
1658438086,35
1658446145,35
1658446771,35
1658459993,35
1658514122,36
1658536177,36
1658552496,36
1658614184,36
1658631640,36
1658698072,36
1658768579,36
1658788810,36
1658856123,36
1658878855,36
1658879061,36
1658965224,35
1659041771,35
1659049567,35
1659055044,35
1659106101,34
1659116089,34
1659126296,34
1659137072,34
1659154611,34
1659160554,34
1659197509,38
1659228141,38
1659229848,38
1659252431,38
1659298084,40
