CODE,RSM362H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,28
1657659549,28
1657678570,28
1657700365,28
1657734871,29
1657736010,29
1657737663,29
1657744779,29
1657780708,29
1657815709,28
1657827433,28
1657841414,28
1657851506,28
1657853745,28
1657868013,28
1657911016,48
1657914736,48
1657938194,48
1657991875,49
1658011950,49
1658085371,49
1658086263,49
1658101142,49
1658101460,49
1658117879,49
1658120793,49
1658149259,49
1658163599,49
1658192570,49
1658255570,50
1658255771,50
1658265950,50
1658282790,50
1658284116,50
1658341001,50
1658425295,50
1658438086,50
1658446145,50
1658446771,50
1658459993,50
1658514122,50
1658536177,50
1658552496,50
1658614184,50
1658631640,50
1658698072,50
1658768579,50
1658788810,50
1658856123,50
1658878855,50
1658879061,50
1658965224,50
1659041771,50
1659049567,50
1659055044,50
1659106101,50
1659116089,50
1659126296,50
1659137072,50
1659154611,50
1659160554,50
1659197509,49
1659228141,49
1659229848,49
1659252431,49
1659298084,49
