CODE,PHL319H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,43
1657659549,43
1657678570,43
1657700365,43
1657734871,43
1657736010,43
1657737663,43
1657744779,43
1657780708,43
1657815709,46
1657827433,46
1657841414,46
1657851506,46
1657853745,46
1657868013,46
1657911016,58
1657914736,58
1657938194,58
1657991875,60
1658011950,60
1658085371,60
1658086263,60
1658101142,60
1658101460,60
1658117879,60
1658120793,60
1658149259,60
1658163599,60
1658192570,60
1658255570,63
1658255771,63
1658265950,63
1658282790,63
1658284116,63
1658341001,63
1658425295,64
1658438086,64
1658446145,64
1658446771,64
1658459993,64
1658514122,65
1658536177,65
1658552496,65
1658614184,65
1658631640,65
1658698072,65
1658768579,65
1658788810,65
1658856123,65
1658878855,65
1658879061,65
1658965224,65
1659041771,64
1659049567,64
1659055044,64
1659106101,64
1659116089,64
1659126296,64
1659137072,64
1659154611,64
1659160554,64
1659197509,62
1659228141,62
1659229848,62
1659252431,62
1659298084,62
