CODE,FRE446H1-F-20229-LEC-0101
CAP,20
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,3
1657659549,3
1657678570,3
1657700365,3
1657734871,3
1657736010,3
1657737663,3
1657744779,3
1657780708,3
1657815709,3
1657827433,3
1657841414,3
1657851506,3
1657853745,3
1657868013,3
1657911016,5
1657914736,5
1657938194,5
1657991875,5
1658011950,5
1658085371,5
1658086263,5
1658101142,5
1658101460,5
1658117879,5
1658120793,5
1658149259,5
1658163599,5
1658192570,5
1658255570,6
1658255771,6
1658265950,6
1658282790,6
1658284116,6
1658341001,6
1658425295,6
1658438086,6
1658446145,6
1658446771,6
1658459993,6
1658514122,5
1658536177,5
1658552496,5
1658614184,5
1658631640,5
1658698072,5
1658768579,5
1658788810,5
1658856123,5
1658878855,-2
1658879061,-2
1658965224,-2
1659041771,-2
1659049567,-2
1659055044,-2
1659106101,-2
1659116089,-2
1659126296,-2
1659137072,-2
1659154611,-2
1659160554,-2
1659197509,-2
1659228141,-2
1659229848,-2
1659252431,-2
1659298084,-2
