CODE,CHM217H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,14
1657659549,14
1657678570,14
1657700365,14
1657734871,13
1657736010,13
1657737663,13
1657744779,13
1657780708,13
1657815709,13
1657827433,13
1657841414,13
1657851506,13
1657853745,13
1657868013,13
1657911016,54
1657914736,54
1657938194,54
1657991875,57
1658011950,57
1658085371,57
1658086263,57
1658101142,57
1658101460,57
1658117879,57
1658120793,57
1658149259,57
1658163599,57
1658192570,57
1658255570,122
1658255771,122
1658265950,122
1658282790,122
1658284116,122
1658341001,124
1658425295,124
1658438086,124
1658446145,124
1658446771,124
1658459993,124
1658514122,128
1658536177,128
1658552496,128
1658614184,128
1658631640,128
1658698072,128
1658768579,129
1658788810,129
1658856123,130
1658878855,130
1658879061,130
1658965224,130
1659041771,130
1659049567,130
1659055044,130
1659106101,129
1659116089,129
1659126296,129
1659137072,129
1659154611,129
1659160554,129
1659197509,148
1659228141,148
1659229848,148
1659252431,148
1659298084,148
