CODE,PHL315H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,5
1657736031,5
1657737680,5
1657744796,5
1657780717,5
1657815723,5
1657827444,5
1657841424,5
1657851524,5
1657853756,5
1657868023,5
1657911025,16
1657914749,16
1657938204,16
1657991885,17
1658011963,17
1658085387,18
1658086283,18
1658101152,18
1658101473,18
1658117893,18
1658120808,18
1658149282,18
1658163609,18
1658192584,18
1658255580,24
1658255781,24
1658265969,24
1658282799,24
1658284132,24
1658341011,24
1658425310,25
1658438101,25
1658446157,25
1658446785,25
1658460004,25
1658514131,25
1658536189,25
1658552506,25
1658614194,25
1658631652,25
1658698082,26
1658768591,26
1658788819,26
1658856132,26
1658878866,26
1658879072,26
1658965232,26
1659041782,26
1659049575,26
1659055055,26
