CODE,FOR305H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,16
1657659549,16
1657678570,16
1657700365,16
1657734871,16
1657736010,16
1657737663,16
1657744779,16
1657780708,16
1657815709,16
1657827433,16
1657841414,16
1657851506,16
1657853745,16
1657868013,16
1657911016,29
1657914736,29
1657938194,29
1657991875,32
1658011950,32
1658085371,33
1658086263,33
1658101142,33
1658101460,33
1658117879,33
1658120793,33
1658149259,33
1658163599,33
1658192570,33
1658255570,33
1658255771,33
1658265950,33
1658282790,33
1658284116,33
1658341001,33
1658425295,34
1658438086,34
1658446145,34
1658446771,34
1658459993,34
1658514122,34
1658536177,34
1658552496,34
1658614184,34
1658631640,34
1658698072,34
1658768579,34
1658788810,34
1658856123,34
1658878855,34
1658879061,34
1658965224,34
1659041771,34
1659049567,34
1659055044,34
