CODE,PCL345H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,27
1657659562,27
1657678580,27
1657700377,27
1657734892,27
1657736031,27
1657737680,27
1657744796,27
1657780717,27
1657815723,28
1657827444,28
1657841424,28
1657851524,28
1657853756,28
1657868023,28
1657911025,60
1657914749,60
1657938204,60
1657991885,60
1658011963,60
1658085387,58
1658086283,58
1658101152,58
1658101473,58
1658117893,58
1658120808,58
1658149282,58
1658163609,58
1658192584,58
1658255580,57
1658255781,57
1658265969,57
1658282799,57
1658284132,57
1658341011,57
1658425310,58
1658438101,58
1658446157,58
1658446785,58
1658460004,58
1658514131,57
1658536189,57
1658552506,57
1658614194,55
1658631652,55
1658698082,55
1658768591,55
1658788819,55
1658856132,56
1658878866,56
1658879072,56
1658965232,56
1659041782,56
1659049575,56
1659055055,56
