CODE,FOR419H1-S-20229-LEC-0101
CAP,20
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,3
1657659562,3
1657678580,3
1657700377,3
1657734892,4
1657736031,4
1657737680,4
1657744796,4
1657780717,4
1657815723,4
1657827444,4
1657841424,4
1657851524,4
1657853756,4
1657868023,4
1657911025,4
1657914749,4
1657938204,4
1657991885,4
1658011963,4
1658085387,4
1658086283,4
1658101152,4
1658101473,4
1658117893,4
1658120808,4
1658149282,4
1658163609,4
1658192584,4
1658255580,5
1658255781,5
1658265969,5
1658282799,5
1658284132,5
1658341011,5
1658425310,5
1658438101,5
1658446157,5
1658446785,5
1658460004,5
1658514131,6
1658536189,6
1658552506,6
1658614194,6
1658631652,6
1658698082,6
1658768591,6
1658788819,6
1658856132,6
1658878866,6
1658879072,6
