CODE,ACT451H1-F-20229-LEC-0101
CAP,80
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,51
1657659549,51
1657678570,51
1657700365,51
1657734871,51
1657736010,51
1657737663,51
1657744779,51
1657780708,51
1657815709,52
1657827433,52
1657841414,52
1657851506,52
1657853745,52
1657868013,52
1657911016,75
1657914736,75
1657938194,75
1657991875,75
1658011950,75
1658085371,76
1658086263,76
1658101142,76
1658101460,76
1658117879,76
1658120793,76
1658149259,76
1658163599,76
1658192570,76
1658255570,78
1658255771,78
1658265950,78
1658282790,78
1658284116,78
1658341001,80
1658425295,80
1658438086,80
1658446145,80
1658446771,80
1658459993,80
1658514122,80
1658536177,80
1658552496,80
1658614184,80
1658631640,80
1658698072,80
1658768579,80
1658788810,80
1658856123,81
1658878855,81
1658879061,81
1658965224,81
1659041771,81
1659049567,81
1659055044,81
1659106101,81
1659116089,81
1659126296,81
1659137072,81
1659154611,81
1659160554,81
1659197509,81
1659228141,81
1659229848,81
1659252431,81
1659298084,80
