CODE,PHL301H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,6
1657659562,6
1657678580,6
1657700377,6
1657734892,7
1657736031,7
1657737680,7
1657744796,7
1657780717,7
1657815723,9
1657827444,9
1657841424,9
1657851524,9
1657853756,9
1657868023,9
1657911025,18
1657914749,18
1657938204,18
1657991885,18
1658011963,18
1658085387,19
1658086283,19
1658101152,19
1658101473,19
1658117893,19
1658120808,19
1658149282,19
1658163609,19
1658192584,19
1658255580,23
1658255781,23
1658265969,23
1658282799,23
1658284132,23
1658341011,25
1658425310,26
1658438101,26
1658446157,26
1658446785,26
1658460004,26
1658514131,26
1658536189,26
1658552506,26
1658614194,26
1658631652,26
1658698082,26
1658768591,26
1658788819,26
1658856132,26
1658878866,26
1658879072,26
1658965232,27
1659041782,28
1659049575,28
1659055055,28
1659106110,28
1659116097,28
1659126308,28
1659137081,28
1659154622,28
1659160562,28
1659197518,29
1659228149,29
1659229856,29
1659252439,29
1659298092,29
