CODE,IMM350H1-S-20229-LEC-0101
CAP,400
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,5
1657659562,5
1657678580,5
1657700377,5
1657734892,5
1657736031,5
1657737680,5
1657744796,5
1657780717,5
1657815723,5
1657827444,5
1657841424,5
1657851524,5
1657853756,5
1657868023,5
1657911025,69
1657914749,69
1657938204,69
1657991885,69
1658011963,69
1658085387,69
1658086283,69
1658101152,69
1658101473,69
1658117893,69
1658120808,69
1658149282,69
1658163609,69
1658192584,69
1658255580,71
1658255781,71
1658265969,71
1658282799,71
1658284132,71
1658341011,71
1658425310,71
1658438101,71
1658446157,71
1658446785,71
1658460004,71
1658514131,71
1658536189,71
1658552506,71
1658614194,71
1658631652,71
1658698082,71
1658768591,71
1658788819,71
1658856132,72
1658878866,72
1658879072,72
1658965232,72
1659041782,72
1659049575,72
1659055055,72
