CODE,PSY333H1-S-20229-LEC-0101,PSY333H1-S-20229-LEC-0201
CAP,50,50
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,1
1657560905,0,1
1657592491,0,1
1657598166,0,1
1657657537,8,38
1657659562,8,38
1657678580,8,38
1657700377,8,38
1657734892,9,38
1657736031,9,38
1657737680,9,38
1657744796,9,38
1657780717,9,38
1657815723,10,39
1657827444,10,39
1657841424,10,39
1657851524,10,39
1657853756,10,39
1657868023,10,39
1657911025,51,69
1657914749,51,69
1657938204,51,69
1657991885,52,70
1658011963,52,70
1658085387,53,70
1658086283,53,70
1658101152,53,70
1658101473,53,70
1658117893,53,70
1658120808,53,70
1658149282,53,70
1658163609,53,70
1658192584,53,70
1658255580,55,73
1658255781,55,73
1658265969,55,73
1658282799,55,73
1658284132,55,73
1658341011,55,73
1658425310,56,73
1658438101,56,73
1658446157,56,73
1658446785,56,73
1658460004,56,73
1658514131,57,73
1658536189,57,73
1658552506,57,73
1658614194,57,74
1658631652,57,74
1658698082,57,74
1658768591,57,74
1658788819,57,74
1658856132,57,74
1658878866,57,74
1658879072,57,74
1658965232,57,74
1659041782,58,74
1659049575,58,74
1659055055,58,74
1659106110,58,74
1659116097,58,74
1659126308,58,74
1659137081,58,74
1659154622,58,74
1659160562,58,74
1659197518,63,78
1659228149,63,78
1659229856,63,78
1659252439,63,78
1659298092,63,78
