CODE,PSY397H1-S-20229-LEC-0101
CAP,50
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,14
1657659562,14
1657678580,14
1657700377,14
1657734892,14
1657736031,14
1657737680,14
1657744796,14
1657780717,14
1657815723,15
1657827444,15
1657841424,15
1657851524,15
1657853756,15
1657868023,15
1657911025,35
1657914749,35
1657938204,35
1657991885,36
1658011963,36
1658085387,36
1658086283,36
1658101152,36
1658101473,36
1658117893,36
1658120808,36
1658149282,38
1658163609,38
1658192584,38
1658255580,39
1658255781,39
1658265969,39
1658282799,39
1658284132,39
1658341011,38
1658425310,38
1658438101,38
1658446157,38
1658446785,38
1658460004,38
1658514131,40
1658536189,40
1658552506,40
1658614194,40
1658631652,40
1658698082,40
1658768591,40
1658788819,40
1658856132,40
1658878866,40
1658879072,40
1658965232,41
1659041782,42
1659049575,42
1659055055,42
1659106110,42
1659116097,42
1659126308,42
1659137081,42
1659154622,42
1659160562,42
1659197518,53
1659228149,53
1659229856,53
1659252439,53
1659298092,53
