CODE,MUN105Y1-Y-20229-LEC-0101
CAP,30
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,0
1657560899,0
1657592485,0
1657598160,0
1657657525,0
1657659552,0
1657678573,0
1657700368,0
1657734875,0
1657736016,0
1657737668,0
1657744785,0
1657780710,0
1657815712,0
1657827436,0
1657841417,0
1657851515,0
1657853748,0
1657868016,0
1657911019,0
1657914739,0
1657938197,0
1657991877,0
1658011954,0
1658085375,0
1658086268,0
1658101144,0
1658101464,0
1658117882,0
1658120797,0
1658149266,0
1658163601,0
1658192573,0
1658255573,0
1658255774,0
1658265957,0
1658282792,0
1658284123,0
1658341004,0
1658425299,19
1658438090,19
1658446148,19
1658446775,19
1658459996,19
1658514124,17
1658536180,17
1658552499,17
1658614187,17
1658631643,17
1658698075,17
1658768582,17
1658788813,17
1658856126,17
1658878858,17
1658879064,17
1658965226,17
1659041774,17
1659049569,17
1659055046,17
1659106104,17
1659116092,17
1659126300,17
1659137075,17
1659154614,17
1659160556,17
1659197512,17
1659228143,17
1659229850,17
1659252433,17
1659298086,17
