CODE,BMS387H1-S-20229-LEC-0101
CAP,68
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,13
1657659562,13
1657678580,13
1657700377,13
1657734892,14
1657736031,14
1657737680,14
1657744796,14
1657780717,14
1657815723,14
1657827444,14
1657841424,14
1657851524,14
1657853756,14
1657868023,14
1657911025,69
1657914749,69
1657938204,69
1657991885,70
1658011963,70
1658085387,71
1658086283,71
1658101152,71
1658101473,71
1658117893,71
1658120808,71
1658149282,71
1658163609,71
1658192584,71
1658255580,88
1658255781,88
1658265969,88
1658282799,88
1658284132,88
1658341011,89
1658425310,89
1658438101,89
1658446157,89
1658446785,89
1658460004,89
1658514131,89
1658536189,89
1658552506,89
1658614194,89
1658631652,89
1658698082,87
1658768591,87
1658788819,87
1658856132,87
1658878866,87
1658879072,87
1658965232,86
1659041782,86
1659049575,86
1659055055,86
