CODE,SAS114H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,7
1657659549,7
1657678570,7
1657700365,7
1657734871,7
1657736010,7
1657737663,7
1657744779,7
1657780708,7
1657815709,7
1657827433,7
1657841414,7
1657851506,7
1657853745,7
1657868013,7
1657911016,10
1657914736,10
1657938194,10
1657991875,9
1658011950,9
1658085371,9
1658086263,9
1658101142,9
1658101460,9
1658117879,9
1658120793,9
1658149259,9
1658163599,9
1658192570,9
1658255570,15
1658255771,15
1658265950,15
1658282790,15
1658284116,15
1658341001,15
1658425295,15
1658438086,15
1658446145,15
1658446771,15
1658459993,15
1658514122,31
1658536177,31
1658552496,31
1658614184,33
1658631640,33
1658698072,34
1658768579,34
1658788810,34
1658856123,36
1658878855,36
1658879061,36
1658965224,36
1659041771,36
1659049567,36
1659055044,36
1659106101,36
1659116089,36
1659126296,36
1659137072,36
1659154611,36
1659160554,36
1659197509,36
1659228141,36
1659229848,36
1659252431,36
1659298084,36
