CODE,FAH347H1-S-20229-LEC-5101
CAP,80
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,17
1657659562,17
1657678580,17
1657700377,17
1657734892,16
1657736031,16
1657737680,16
1657744796,16
1657780717,16
1657815723,16
1657827444,16
1657841424,16
1657851524,16
1657853756,16
1657868023,16
1657911025,42
1657914749,42
1657938204,42
1657991885,42
1658011963,42
1658085387,42
1658086283,42
1658101152,42
1658101473,42
1658117893,42
1658120808,42
1658149282,42
1658163609,42
1658192584,42
1658255580,49
1658255781,49
1658265969,49
1658282799,49
1658284132,49
1658341011,48
1658425310,48
1658438101,48
1658446157,48
1658446785,48
1658460004,48
1658514131,48
