CODE,BMS311H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,15
1657736010,15
1657737663,15
1657744779,15
1657780708,15
1657815709,14
1657827433,14
1657841414,14
1657851506,14
1657853745,14
1657868013,14
1657911016,48
1657914736,48
1657938194,48
1657991875,48
1658011950,48
1658085371,49
1658086263,49
1658101142,49
1658101460,49
1658117879,49
1658120793,49
1658149259,50
1658163599,50
1658192570,50
1658255570,57
1658255771,57
1658265950,57
1658282790,57
1658284116,57
1658341001,58
1658425295,58
1658438086,58
1658446145,58
1658446771,58
1658459993,58
1658514122,58
