CODE,GGR274H1-S-20229-LEC-0101
CAP,150
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,14
1657659562,14
1657678580,14
1657700377,14
1657734892,15
1657736031,15
1657737680,15
1657744796,15
1657780717,15
1657815723,16
1657827444,16
1657841424,16
1657851524,16
1657853756,16
1657868023,16
1657911025,28
1657914749,28
1657938204,28
1657991885,28
1658011963,28
1658085387,29
1658086283,29
1658101152,29
1658101473,29
1658117893,29
1658120808,29
1658149282,29
1658163609,29
1658192584,29
1658255580,49
1658255781,49
1658265969,49
1658282799,49
1658284132,49
1658341011,50
1658425310,50
1658438101,50
1658446157,50
1658446785,50
1658460004,50
1658514131,54
