CODE,FRE334H1-S-20229-LEC-0101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,14
1657659562,14
1657678580,14
1657700377,14
1657734892,16
1657736031,16
1657737680,16
1657744796,16
1657780717,16
1657815723,16
1657827444,16
1657841424,16
1657851524,16
1657853756,16
1657868023,16
1657911025,25
1657914749,25
1657938204,25
1657991885,26
1658011963,26
1658085387,25
1658086283,25
1658101152,25
1658101473,25
1658117893,25
1658120808,25
1658149282,25
1658163609,25
1658192584,25
1658255580,30
1658255781,30
1658265969,30
1658282799,30
1658284132,30
1658341011,30
1658425310,30
1658438101,30
1658446157,30
1658446785,30
1658460004,30
1658514131,29
1658536189,29
1658552506,29
1658614194,29
1658631652,29
1658698082,30
1658768591,30
1658788819,30
1658856132,30
1658878866,30
1658879072,30
1658965232,31
1659041782,31
1659049575,31
1659055055,31
1659106110,31
1659116097,31
1659126308,31
1659137081,31
1659154622,31
1659160562,31
1659197518,32
1659228149,32
1659229856,32
1659252439,32
1659298092,33
