CODE,NFS302H1-S-20229-LEC-0101
CAP,244
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,9
1657659562,9
1657678580,9
1657700377,9
1657734892,10
1657736031,10
1657737680,10
1657744796,10
1657780717,10
1657815723,10
1657827444,10
1657841424,10
1657851524,10
1657853756,10
1657868023,10
1657911025,43
1657914749,43
1657938204,43
1657991885,43
1658011963,43
1658085387,44
1658086283,44
1658101152,44
1658101473,44
1658117893,44
1658120808,44
1658149282,44
1658163609,44
1658192584,44
1658255580,54
1658255781,54
1658265969,54
1658282799,54
1658284132,54
1658341011,56
1658425310,56
1658438101,56
1658446157,56
1658446785,56
1658460004,56
1658514131,56
