CODE,PSY313H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,19
1657659549,19
1657678570,19
1657700365,19
1657734871,19
1657736010,19
1657737663,19
1657744779,19
1657780708,19
1657815709,19
1657827433,19
1657841414,19
1657851506,19
1657853745,19
1657868013,19
1657911016,48
1657914736,48
1657938194,48
1657991875,48
1658011950,48
1658085371,47
1658086263,47
1658101142,47
1658101460,47
1658117879,47
1658120793,47
1658149259,48
1658163599,48
1658192570,48
1658255570,51
1658255771,51
1658265950,51
1658282790,51
1658284116,51
1658341001,50
1658425295,50
1658438086,50
1658446145,50
1658446771,50
1658459993,50
1658514122,51
