CODE,PSY430H1-S-20229-LEC-0101
CAP,20
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,19
1657560905,19
1657592491,19
1657598166,19
1657657537,30
1657659562,30
1657678580,30
1657700377,30
1657734892,31
1657736031,31
1657737680,31
1657744796,31
1657780717,31
1657815723,31
1657827444,31
1657841424,31
1657851524,31
1657853756,31
1657868023,31
1657911025,33
1657914749,33
1657938204,33
1657991885,33
1658011963,33
1658085387,33
1658086283,33
1658101152,33
1658101473,33
1658117893,33
1658120808,33
1658149282,33
1658163609,33
1658192584,33
1658255580,33
1658255781,33
1658265969,33
1658282799,33
1658284132,33
1658341011,33
1658425310,32
1658438101,32
1658446157,32
1658446785,32
1658460004,32
1658514131,32
