CODE,PCL218H1-S-20229-LEC-0101
CAP,250
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,196
1657659562,196
1657678580,196
1657700377,196
1657734892,201
1657736031,201
1657737680,201
1657744796,201
1657780717,201
1657815723,205
1657827444,205
1657841424,205
1657851524,205
1657853756,205
1657868023,205
1657911025,303
1657914749,303
1657938204,303
1657991885,305
1658011963,305
1658085387,305
1658086283,305
1658101152,305
1658101473,305
1658117893,305
1658120808,305
1658149282,305
1658163609,305
1658192584,305
1658255580,366
1658255781,366
1658265969,366
1658282799,366
1658284132,366
1658341011,364
1658425310,361
1658438101,361
1658446157,361
1658446785,361
1658460004,361
1658514131,370
1658536189,370
1658552506,370
1658614194,370
1658631652,370
1658698082,372
1658768591,372
1658788819,372
1658856132,373
1658878866,373
1658879072,373
1658965232,371
1659041782,368
1659049575,368
1659055055,368
1659106110,366
1659116097,366
1659126308,366
1659137081,366
1659154622,366
1659160562,366
1659197518,375
1659228149,375
1659229856,375
1659252439,375
1659298092,376
