CODE,PSY260H1-F-20229-LEC-0101
CAP,188
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,9
1657659549,9
1657678570,9
1657700365,9
1657734871,9
1657736010,9
1657737663,9
1657744779,9
1657780708,9
1657815709,9
1657827433,9
1657841414,9
1657851506,9
1657853745,9
1657868013,9
1657911016,45
1657914736,45
1657938194,45
1657991875,45
1658011950,45
1658085371,45
1658086263,45
1658101142,45
1658101460,45
1658117879,45
1658120793,45
1658149259,44
1658163599,44
1658192570,44
1658255570,97
1658255771,97
1658265950,97
1658282790,97
1658284116,97
1658341001,99
1658425295,99
1658438086,99
1658446145,99
1658446771,99
1658459993,99
1658514122,99
1658536177,99
1658552496,99
1658614184,97
1658631640,97
1658698072,97
1658768579,96
1658788810,96
1658856123,96
1658878855,96
1658879061,96
1658965224,95
1659041771,95
1659049567,95
1659055044,95
1659106101,95
1659116089,95
1659126296,95
1659137072,95
1659154611,95
1659160554,95
1659197509,136
1659228141,136
1659229848,136
1659252431,136
1659298084,139
