CODE,PSY390H1-S-20229-LEC-0101,PSY390H1-S-20229-LEC-0201
CAP,50,50
1656647697,0,0
1656655667,0,0
1656693731,0,0
1656799552,0,0
1657039041,0,0
1657124791,0,0
1657129909,0,0
1657154834,0,0
1657154935,0,0
1657157146,0,0
1657169433,0,0
1657171616,0,0
1657208573,0,0
1657224158,0,0
1657394896,0,0
1657522648,0,0
1657560905,0,0
1657592491,0,0
1657598166,0,0
1657657537,13,13
1657659562,13,13
1657678580,13,13
1657700377,13,13
1657734892,14,13
1657736031,14,13
1657737680,14,13
1657744796,14,13
1657780717,14,13
1657815723,14,15
1657827444,14,15
1657841424,14,15
1657851524,14,15
1657853756,14,15
1657868023,14,15
1657911025,46,43
1657914749,46,43
1657938204,46,43
1657991885,50,43
1658011963,50,43
1658085387,49,45
1658086283,49,45
1658101152,49,45
1658101473,49,45
1658117893,49,45
1658120808,49,45
1658149282,49,46
1658163609,49,46
1658192584,49,46
1658255580,55,54
1658255781,55,54
1658265969,55,54
1658282799,55,54
1658284132,55,54
1658341011,55,53
1658425310,55,53
1658438101,55,53
1658446157,55,53
1658446785,55,53
1658460004,55,53
1658514131,54,53
1658536189,54,53
1658552506,54,53
1658614194,54,54
1658631652,54,54
1658698082,54,54
1658768591,54,54
1658788819,54,54
1658856132,54,54
1658878866,54,54
1658879072,54,54
