CODE,BPM338H1-F-20229-LEC-0101
CAP,40
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,18
1657659549,18
1657678570,18
1657700365,18
1657734871,18
1657736010,18
1657737663,18
1657744779,18
1657780708,18
1657815709,20
1657827433,20
1657841414,20
1657851506,20
1657853745,20
1657868013,20
1657911016,36
1657914736,36
1657938194,36
1657991875,38
1658011950,38
1658085371,39
1658086263,39
1658101142,39
1658101460,39
1658117879,39
1658120793,39
1658149259,39
1658163599,39
1658192570,39
1658255570,48
1658255771,48
1658265950,48
1658282790,48
1658284116,48
1658341001,50
1658425295,50
1658438086,50
1658446145,50
1658446771,50
1658459993,50
1658514122,51
1658536177,51
1658552496,51
1658614184,51
1658631640,51
1658698072,51
1658768579,51
1658788810,51
1658856123,52
1658878855,52
1658879061,52
