CODE,ACT349H1-F-20229-LEC-0101
CAP,100
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,23
1657659549,23
1657678570,23
1657700365,23
1657734871,23
1657736010,23
1657737663,23
1657744779,23
1657780708,23
1657815709,23
1657827433,23
1657841414,23
1657851506,23
1657853745,23
1657868013,23
1657911016,43
1657914736,43
1657938194,43
1657991875,43
1658011950,43
1658085371,42
1658086263,42
1658101142,42
1658101460,42
1658117879,42
1658120793,42
1658149259,42
1658163599,42
1658192570,42
1658255570,46
1658255771,46
1658265950,46
1658282790,46
1658284116,46
1658341001,47
1658425295,47
1658438086,47
1658446145,47
1658446771,47
1658459993,47
1658514122,47
