CODE,HIS397H1-F-20229-LEC-0101
CAP,45
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,13
1657659549,13
1657678570,13
1657700365,13
1657734871,13
1657736010,13
1657737663,13
1657744779,13
1657780708,13
1657815709,14
1657827433,14
1657841414,14
1657851506,14
1657853745,14
1657868013,14
1657911016,28
1657914736,28
1657938194,28
1657991875,28
1658011950,28
1658085371,28
1658086263,28
1658101142,28
1658101460,28
1658117879,28
1658120793,28
1658149259,28
1658163599,28
1658192570,28
1658255570,31
1658255771,31
1658265950,31
1658282790,31
1658284116,31
1658341001,34
1658425295,35
1658438086,35
1658446145,35
1658446771,35
1658459993,35
1658514122,36
