CODE,NMC365H1-S-20229-LEC-0101
CAP,40
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,10
1657659562,10
1657678580,10
1657700377,10
1657734892,10
1657736031,10
1657737680,10
1657744796,10
1657780717,10
1657815723,10
1657827444,10
1657841424,10
1657851524,10
1657853756,10
1657868023,10
1657911025,13
1657914749,13
1657938204,13
1657991885,13
1658011963,13
1658085387,13
1658086283,13
1658101152,13
1658101473,13
1658117893,13
1658120808,13
1658149282,13
1658163609,13
1658192584,13
1658255580,17
1658255781,17
1658265969,17
1658282799,17
1658284132,17
1658341011,18
1658425310,18
1658438101,18
1658446157,18
1658446785,18
1658460004,18
1658514131,19
1658536189,19
1658552506,19
1658614194,19
1658631652,19
1658698082,19
1658768591,19
1658788819,19
1658856132,19
1658878866,19
1658879072,19
1658965232,19
1659041782,19
1659049575,19
1659055055,19
1659106110,19
1659116097,19
1659126308,19
1659137081,19
1659154622,19
1659160562,19
1659197518,18
1659228149,18
1659229856,18
1659252439,18
1659298092,18
