CODE,NMC101H1-F-20229-LEC-0101
CAP,200
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,15
1657659549,15
1657678570,15
1657700365,15
1657734871,16
1657736010,16
1657737663,16
1657744779,16
1657780708,16
1657815709,16
1657827433,16
1657841414,16
1657851506,16
1657853745,16
1657868013,16
1657911016,32
1657914736,32
1657938194,32
1657991875,35
1658011950,35
1658085371,35
1658086263,35
1658101142,35
1658101460,35
1658117879,35
1658120793,35
1658149259,35
1658163599,35
1658192570,35
1658255570,52
1658255771,52
1658265950,52
1658282790,52
1658284116,52
1658341001,51
1658425295,51
1658438086,51
1658446145,51
1658446771,51
1658459993,51
1658514122,91
1658536177,91
1658552496,91
1658614184,92
1658631640,92
1658698072,92
1658768579,92
1658788810,92
1658856123,92
1658878855,92
1658879061,92
1658965224,93
1659041771,95
1659049567,95
1659055044,95
