CODE,GGR305H1-S-20229-LEC-0101
CAP,110
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,16
1657659562,16
1657678580,16
1657700377,16
1657734892,16
1657736031,16
1657737680,16
1657744796,16
1657780717,16
1657815723,16
1657827444,16
1657841424,16
1657851524,16
1657853756,16
1657868023,16
1657911025,31
1657914749,31
1657938204,31
1657991885,31
1658011963,31
1658085387,30
1658086283,30
1658101152,30
1658101473,30
1658117893,30
1658120808,30
1658149282,31
1658163609,31
1658192584,31
1658255580,35
1658255781,35
1658265969,35
1658282799,35
1658284132,35
1658341011,36
1658425310,36
1658438101,36
1658446157,36
1658446785,36
1658460004,36
1658514131,36
1658536189,36
1658552506,36
1658614194,36
1658631652,36
1658698082,36
1658768591,36
1658788819,36
1658856132,36
1658878866,36
1658879072,36
1658965232,37
1659041782,37
1659049575,37
1659055055,37
1659106110,36
1659116097,36
1659126308,36
1659137081,36
1659154622,36
1659160562,36
1659197518,95
1659228149,95
1659229856,95
1659252439,95
1659298092,98
