CODE,IMM340H1-F-20229-LEC-0101
CAP,450
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,5
1657560897,5
1657592482,5
1657598158,5
1657657520,11
1657659549,11
1657678570,11
1657700365,11
1657734871,11
1657736010,11
1657737663,11
1657744779,11
1657780708,11
1657815709,11
1657827433,11
1657841414,11
1657851506,11
1657853745,11
1657868013,11
1657911016,71
1657914736,71
1657938194,71
1657991875,71
1658011950,71
1658085371,71
1658086263,71
1658101142,71
1658101460,71
1658117879,71
1658120793,71
1658149259,71
1658163599,71
1658192570,71
1658255570,73
1658255771,73
1658265950,73
1658282790,73
1658284116,73
1658341001,73
1658425295,73
1658438086,73
1658446145,73
1658446771,73
1658459993,73
1658514122,74
