CODE,PHL341H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,21
1657659562,21
1657678580,21
1657700377,21
1657734892,21
1657736031,21
1657737680,21
1657744796,21
1657780717,21
1657815723,21
1657827444,21
1657841424,21
1657851524,21
1657853756,21
1657868023,21
1657911025,46
1657914749,46
1657938204,46
1657991885,47
1658011963,47
1658085387,47
1658086283,47
1658101152,47
1658101473,47
1658117893,47
1658120808,47
1658149282,47
1658163609,47
1658192584,47
1658255580,48
1658255781,48
1658265969,48
1658282799,48
1658284132,48
1658341011,48
1658425310,50
1658438101,50
1658446157,50
1658446785,50
1658460004,50
1658514131,50
1658536189,50
1658552506,50
1658614194,50
1658631652,50
1658698082,50
1658768591,50
1658788819,50
1658856132,50
1658878866,50
1658879072,50
1658965232,51
1659041782,52
1659049575,52
1659055055,52
1659106110,51
1659116097,51
1659126308,51
1659137081,51
1659154622,51
1659160562,51
1659197518,52
1659228149,52
1659229856,52
1659252439,52
1659298092,52
