CODE,CLA305H1-S-20229-LEC-5101
CAP,30
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,2
1657560905,2
1657592491,2
1657598166,2
1657657537,17
1657659562,17
1657678580,17
1657700377,17
1657734892,18
1657736031,18
1657737680,18
1657744796,18
1657780717,18
1657815723,19
1657827444,19
1657841424,19
1657851524,19
1657853756,19
1657868023,19
1657911025,39
1657914749,39
1657938204,39
1657991885,39
1658011963,39
1658085387,40
1658086283,40
1658101152,40
1658101473,40
1658117893,40
1658120808,40
1658149282,40
1658163609,40
1658192584,40
1658255580,48
1658255781,48
1658265969,48
1658282799,48
1658284132,48
1658341011,49
1658425310,49
1658438101,49
1658446157,49
1658446785,49
1658460004,49
1658514131,49
1658536189,49
1658552506,49
1658614194,49
1658631652,49
1658698082,49
1658768591,49
1658788819,49
1658856132,49
1658878866,49
1658879072,49
