CODE,BMS301H1-F-20229-LEC-0101
CAP,50
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,20
1657659549,20
1657678570,20
1657700365,20
1657734871,20
1657736010,20
1657737663,20
1657744779,20
1657780708,20
1657815709,20
1657827433,20
1657841414,20
1657851506,20
1657853745,20
1657868013,20
1657911016,56
1657914736,56
1657938194,56
1657991875,57
1658011950,57
1658085371,57
1658086263,57
1658101142,57
1658101460,57
1658117879,57
1658120793,57
1658149259,57
1658163599,57
1658192570,57
1658255570,66
1658255771,66
1658265950,66
1658282790,66
1658284116,66
1658341001,67
1658425295,67
1658438086,67
1658446145,67
1658446771,67
1658459993,67
1658514122,67
1658536177,67
1658552496,67
1658614184,67
1658631640,67
1658698072,67
1658768579,67
1658788810,67
1658856123,67
1658878855,67
1658879061,67
1658965224,67
1659041771,67
1659049567,67
1659055044,67
1659106101,67
1659116089,67
1659126296,67
1659137072,67
1659154611,67
1659160554,67
1659197509,76
1659228141,76
1659229848,76
1659252431,76
1659298084,76
