CODE,FAH262H1-S-20229-LEC-0101
CAP,180
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,1
1657560905,1
1657592491,1
1657598166,1
1657657537,27
1657659562,27
1657678580,27
1657700377,27
1657734892,26
1657736031,26
1657737680,26
1657744796,26
1657780717,26
1657815723,26
1657827444,26
1657841424,26
1657851524,26
1657853756,26
1657868023,26
1657911025,58
1657914749,58
1657938204,58
1657991885,58
1658011963,58
1658085387,59
1658086283,59
1658101152,59
1658101473,59
1658117893,59
1658120808,59
1658149282,59
1658163609,59
1658192584,59
1658255580,118
1658255781,118
1658265969,118
1658282799,118
1658284132,118
1658341011,116
1658425310,115
1658438101,115
1658446157,115
1658446785,115
1658460004,115
1658514131,137
1658536189,137
1658552506,137
1658614194,136
1658631652,136
1658698082,136
1658768591,136
1658788819,136
1658856132,136
1658878866,136
1658879072,136
1658965232,136
1659041782,137
1659049575,137
1659055055,137
