CODE,CRI383H1-F-20229-LEC-0101
CAP,125
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,39
1657659549,39
1657678570,39
1657700365,39
1657734871,38
1657736010,38
1657737663,38
1657744779,38
1657780708,38
1657815709,41
1657827433,41
1657841414,41
1657851506,41
1657853745,41
1657868013,41
1657911016,98
1657914736,98
1657938194,98
1657991875,97
1658011950,97
1658085371,98
1658086263,98
1658101142,98
1658101460,98
1658117879,98
1658120793,98
1658149259,98
1658163599,98
1658192570,98
1658255570,104
1658255771,104
1658265950,104
1658282790,104
1658284116,104
1658341001,105
1658425295,106
1658438086,106
1658446145,106
1658446771,106
1658459993,106
1658514122,106
1658536177,106
1658552496,106
1658614184,106
1658631640,106
1658698072,106
1658768579,107
1658788810,107
1658856123,108
1658878855,108
1658879061,108
1658965224,110
1659041771,111
1659049567,111
1659055044,111
1659106101,111
1659116089,111
1659126296,111
1659137072,111
1659154611,111
1659160554,111
1659197509,110
1659228141,110
1659229848,110
1659252431,110
1659298084,110
