CODE,PSY204H1-S-20229-LEC-0101
CAP,188
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,18
1657659562,18
1657678580,18
1657700377,18
1657734892,19
1657736031,19
1657737680,19
1657744796,19
1657780717,19
1657815723,19
1657827444,19
1657841424,19
1657851524,19
1657853756,19
1657868023,19
1657911025,33
1657914749,33
1657938204,33
1657991885,32
1658011963,32
1658085387,33
1658086283,33
1658101152,33
1658101473,33
1658117893,33
1658120808,33
1658149282,33
1658163609,33
1658192584,33
1658255580,65
1658255781,65
1658265969,65
1658282799,65
1658284132,65
1658341011,66
1658425310,66
1658438101,66
1658446157,66
1658446785,66
1658460004,66
1658514131,65
