CODE,FSL375H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,0
1657560897,0
1657592482,0
1657598158,0
1657657520,10
1657659549,10
1657678570,10
1657700365,10
1657734871,10
1657736010,10
1657737663,10
1657744779,10
1657780708,10
1657815709,10
1657827433,10
1657841414,10
1657851506,10
1657853745,10
1657868013,10
1657911016,31
1657914736,31
1657938194,31
1657991875,31
1658011950,31
1658085371,31
1658086263,31
1658101142,31
1658101460,31
1658117879,31
1658120793,31
1658149259,31
1658163599,31
1658192570,31
1658255570,39
1658255771,39
1658265950,39
1658282790,39
1658284116,39
1658341001,39
1658425295,39
1658438086,39
1658446145,39
1658446771,39
1658459993,39
1658514122,38
1658536177,38
1658552496,38
1658614184,37
1658631640,37
1658698072,37
1658768579,36
1658788810,36
1658856123,36
1658878855,36
1658879061,36
1658965224,36
1659041771,36
1659049567,36
1659055044,36
