CODE,NMC395H1-F-20229-LEC-0101
CAP,35
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,6
1657659549,6
1657678570,6
1657700365,6
1657734871,6
1657736010,6
1657737663,6
1657744779,6
1657780708,6
1657815709,6
1657827433,6
1657841414,6
1657851506,6
1657853745,6
1657868013,6
1657911016,10
1657914736,10
1657938194,10
1657991875,10
1658011950,10
1658085371,10
1658086263,10
1658101142,10
1658101460,10
1658117879,10
1658120793,10
1658149259,10
1658163599,10
1658192570,10
1658255570,11
1658255771,11
1658265950,11
1658282790,11
1658284116,11
1658341001,11
1658425295,10
1658438086,10
1658446145,-2
1658446771,-2
1658459993,-2
1658514122,-2
1658536177,-2
1658552496,-2
1658614184,-2
1658631640,-2
1658698072,-2
1658768579,-2
1658788810,-2
1658856123,-2
1658878855,-2
1658879061,-2
1658965224,-2
1659041771,-2
1659049567,-2
1659055044,-2
1659106101,-2
1659116089,-2
1659126296,-2
1659137072,-2
1659154611,-2
1659160554,-2
1659197509,-2
1659228141,-2
1659229848,-2
1659252431,-2
1659298084,-2
