CODE,GGR107H1-F-20229-LEC-0101
CAP,300
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,2
1657560897,2
1657592482,2
1657598158,2
1657657520,41
1657659549,41
1657678570,41
1657700365,41
1657734871,43
1657736010,43
1657737663,43
1657744779,43
1657780708,43
1657815709,43
1657827433,43
1657841414,43
1657851506,43
1657853745,43
1657868013,43
1657911016,82
1657914736,82
1657938194,82
1657991875,83
1658011950,83
1658085371,83
1658086263,83
1658101142,83
1658101460,83
1658117879,83
1658120793,83
1658149259,85
1658163599,85
1658192570,85
1658255570,174
1658255771,174
1658265950,174
1658282790,174
1658284116,174
1658341001,176
1658425295,181
1658438086,181
1658446145,181
1658446771,181
1658459993,181
1658514122,299
1658536177,299
1658552496,299
1658614184,300
1658631640,300
1658698072,300
1658768579,300
1658788810,300
1658856123,300
1658878855,300
1658879061,300
