CODE,NFS284H1-S-20229-LEC-0101
CAP,1020
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,0
1657659562,0
1657678580,0
1657700377,0
1657734892,0
1657736031,0
1657737680,0
1657744796,0
1657780717,0
1657815723,0
1657827444,0
1657841424,0
1657851524,0
1657853756,0
1657868023,0
1657911025,0
1657914749,0
1657938204,0
1657991885,0
1658011963,0
1658085387,0
1658086283,0
1658101152,0
1658101473,0
1658117893,0
1658120808,0
1658149282,0
1658163609,0
1658192584,0
1658255580,38
1658255781,38
1658265969,38
1658282799,38
1658284132,38
1658341011,38
1658425310,38
1658438101,38
1658446157,38
1658446785,38
1658460004,38
1658514131,38
1658536189,38
1658552506,38
1658614194,38
1658631652,38
1658698082,38
1658768591,38
1658788819,38
1658856132,38
1658878866,38
1658879072,38
1658965232,37
1659041782,37
1659049575,37
1659055055,37
1659106110,37
1659116097,37
1659126308,37
1659137081,37
1659154622,37
1659160562,37
1659197518,761
1659228149,761
1659229856,761
1659252439,761
1659298092,785
