CODE,HIS377H1-F-20229-LEC-5101
CAP,120
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,41
1657659549,41
1657678570,41
1657700365,41
1657734871,41
1657736010,41
1657737663,41
1657744779,41
1657780708,41
1657815709,41
1657827433,41
1657841414,41
1657851506,41
1657853745,41
1657868013,41
1657911016,91
1657914736,91
1657938194,91
1657991875,94
1658011950,94
1658085371,93
1658086263,93
1658101142,93
1658101460,93
1658117879,93
1658120793,93
1658149259,95
1658163599,95
1658192570,95
1658255570,107
1658255771,107
1658265950,107
1658282790,107
1658284116,107
1658341001,110
1658425295,111
1658438086,111
1658446145,111
1658446771,111
1658459993,111
1658514122,112
1658536177,112
1658552496,112
1658614184,112
1658631640,112
1658698072,112
1658768579,114
1658788810,114
1658856123,114
1658878855,114
1658879061,114
1658965224,115
1659041771,114
1659049567,114
1659055044,114
