CODE,NFS284H1-F-20229-LEC-0101
CAP,1020
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,1
1657560897,1
1657592482,1
1657598158,1
1657657520,1
1657659549,1
1657678570,1
1657700365,1
1657734871,1
1657736010,1
1657737663,1
1657744779,1
1657780708,1
1657815709,1
1657827433,1
1657841414,1
1657851506,1
1657853745,1
1657868013,1
1657911016,6
1657914736,6
1657938194,6
1657991875,7
1658011950,7
1658085371,7
1658086263,7
1658101142,7
1658101460,7
1658117879,7
1658120793,7
1658149259,7
1658163599,7
1658192570,7
1658255570,39
1658255771,39
1658265950,39
1658282790,39
1658284116,39
1658341001,39
1658425295,39
1658438086,39
1658446145,39
1658446771,39
1658459993,39
1658514122,38
1658536177,38
1658552496,38
1658614184,38
1658631640,38
1658698072,38
1658768579,38
1658788810,38
1658856123,39
1658878855,39
1658879061,39
1658965224,39
1659041771,40
1659049567,40
1659055044,40
1659106101,40
1659116089,40
1659126296,40
1659137072,40
1659154611,40
1659160554,40
1659197509,1013
1659228141,1013
1659229848,1013
1659252431,1013
1659298084,1057
