CODE,VIC173Y1-Y-20229-LEC-0101
CAP,25
1656647691,0
1656655658,0
1656693725,0
1656799545,0
1657039032,0
1657124785,0
1657129902,0
1657154828,0
1657154929,0
1657157139,0
1657169427,0
1657171607,0
1657208567,0
1657224152,0
1657394890,0
1657522642,22
1657560899,22
1657592485,22
1657598160,22
1657657525,22
1657659552,22
1657678573,22
1657700368,22
1657734875,22
1657736016,22
1657737668,22
1657744785,22
1657780710,22
1657815712,22
1657827436,22
1657841417,22
1657851515,22
1657853748,22
1657868016,22
1657911019,22
1657914739,22
1657938197,22
1657991877,22
1658011954,22
1658085375,22
1658086268,22
1658101144,22
1658101464,22
1658117882,22
1658120797,22
1658149266,22
1658163601,22
1658192573,22
1658255573,21
1658255774,21
1658265957,21
1658282792,21
1658284123,21
1658341004,20
1658425299,20
1658438090,20
1658446148,20
1658446775,20
1658459996,20
1658514124,20
1658536180,20
1658552499,20
1658614187,20
1658631643,20
1658698075,20
1658768582,20
1658788813,20
1658856126,20
1658878858,20
1658879064,20
1658965226,20
1659041774,20
1659049569,20
1659055046,20
1659106104,20
1659116092,20
1659126300,20
1659137075,20
1659154614,20
1659160556,20
1659197512,20
1659228143,20
1659229850,20
1659252433,20
1659298086,20
