CODE,PHL381H1-S-20229-LEC-0101
CAP,35
1656647697,0
1656655667,0
1656693731,0
1656799552,0
1657039041,0
1657124791,0
1657129909,0
1657154834,0
1657154935,0
1657157146,0
1657169433,0
1657171616,0
1657208573,0
1657224158,0
1657394896,0
1657522648,0
1657560905,0
1657592491,0
1657598166,0
1657657537,31
1657659562,31
1657678580,31
1657700377,31
1657734892,33
1657736031,33
1657737680,33
1657744796,33
1657780717,33
1657815723,33
1657827444,33
1657841424,33
1657851524,33
1657853756,33
1657868023,33
1657911025,54
1657914749,54
1657938204,54
1657991885,55
1658011963,55
1658085387,54
1658086283,54
1658101152,54
1658101473,54
1658117893,54
1658120808,54
1658149282,52
1658163609,52
1658192584,52
1658255580,59
1658255781,59
1658265969,59
1658282799,59
1658284132,59
1658341011,59
1658425310,60
1658438101,60
1658446157,60
1658446785,60
1658460004,60
1658514131,60
1658536189,60
1658552506,60
1658614194,61
1658631652,61
1658698082,61
1658768591,61
1658788819,61
1658856132,61
1658878866,61
1658879072,61
1658965232,61
1659041782,61
1659049575,61
1659055055,61
1659106110,61
1659116097,61
1659126308,61
1659137081,61
1659154622,61
1659160562,61
1659197518,62
1659228149,62
1659229856,62
1659252439,62
1659298092,62
