CODE,RLG102H1-F-20229-LEC-0101
CAP,150
1656647689,0
1656655656,0
1656693722,0
1656799543,0
1657039029,0
1657124783,0
1657129900,0
1657154826,0
1657154927,0
1657157137,0
1657169424,0
1657171604,0
1657208564,0
1657224150,0
1657394888,0
1657522639,3
1657560897,3
1657592482,3
1657598158,3
1657657520,13
1657659549,13
1657678570,13
1657700365,13
1657734871,14
1657736010,14
1657737663,14
1657744779,14
1657780708,14
1657815709,15
1657827433,15
1657841414,15
1657851506,15
1657853745,15
1657868013,15
1657911016,24
1657914736,24
1657938194,24
1657991875,24
1658011950,24
1658085371,25
1658086263,25
1658101142,25
1658101460,25
1658117879,25
1658120793,25
1658149259,25
1658163599,25
1658192570,25
1658255570,60
1658255771,60
1658265950,60
1658282790,60
1658284116,60
1658341001,62
1658425295,61
1658438086,61
1658446145,61
1658446771,61
1658459993,61
1658514122,98
1658536177,98
1658552496,98
1658614184,98
1658631640,98
1658698072,98
1658768579,99
1658788810,99
1658856123,101
1658878855,101
1658879061,101
1658965224,102
1659041771,104
1659049567,104
1659055044,104
1659106101,103
1659116089,103
1659126296,103
1659137072,103
1659154611,103
1659160554,103
1659197509,111
1659228141,111
1659229848,111
1659252431,111
1659298084,113
